"Code";"Libellé"
"011";"Cultures non permanentes"
"012";"Cultures permanentes"
"013";"Reproduction de plantes"
"014";"Production animale"
"015";"Culture et élevage associés"
"016";"Activités de soutien à l'agriculture et traitement primaire des récoltes"
"017";"Chasse, piégeage et services annexes"
"021";"Sylviculture et autres activités forestières"
"022";"Exploitation forestière"
"023";"Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"024";"Services de soutien à l'exploitation forestière"
"031";"Pêche"
"032";"Aquaculture"
"051";"Extraction de houille"
"052";"Extraction de lignite"
"061";"Extraction de pétrole brut"
"062";"Extraction de gaz naturel"
"071";"Extraction de minerais de fer"
"072";"Extraction de minerais de métaux non ferreux"
"081";"Extraction de pierres, de sables et d'argiles"
"089";"Activités extractives n.c.a."
"091";"Activités de soutien à l'extraction d'hydrocarbures"
"099";"Activités de soutien aux autres industries extractives"
"101";"Transformation et conservation de la viande et préparation de produits à base de viande"
"102";"Transformation et conservation de poisson, de crustacés et de mollusques"
"103";"Transformation et conservation de fruits et légumes"
"104";"Fabrication d’huiles et graisses végétales et animales"
"105";"Fabrication de produits laitiers"
"106";"Travail des grains"
"107";"Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires"
"108";"Fabrication d'autres produits alimentaires"
"109";"Fabrication d'aliments pour animaux"
"110";"Fabrication de boissons"
"120";"Fabrication de produits à base de tabac"
"131";"Préparation de fibres textiles et filature"
"132";"Tissage"
"133";"Ennoblissement textile"
"139";"Fabrication d'autres textiles"
"141";"Fabrication de vêtements, autres qu'en fourrure"
"142";"Fabrication d'articles en fourrure"
"143";"Fabrication d'articles à mailles"
"151";"Apprêt et tannage des cuirs"
"152";"Fabrication de chaussures"
"161";"Sciage et rabotage du bois"
"162";"Fabrication d'articles en bois, liège, vannerie et sparterie"
"171";"Fabrication de pâte à papier, de papier et de carton"
"172";"Fabrication d'articles en papier ou en carton"
"181";"Imprimerie et services annexes"
"182";"Reproduction d'enregistrements"
"191";"Cokéfaction"
"192";"Raffinage du pétrole"
"201";"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
"202";"Fabrication de pesticides et d’autres produits agrochimiques "
"203";"Fabrication de peintures, vernis, encres et mastics"
"204";"Fabrication de savons, de produits d'entretien et de parfums"
"205";"Fabrication d'autres produits chimiques"
"206";"Fabrication de fibres artificielles ou synthétiques"
"211";"Fabrication de produits pharmaceutiques de base"
"212";"Fabrication de préparations pharmaceutiques"
"221";"Fabrication de produits en caoutchouc"
"222";"Fabrication  de produits en plastique"
"231";"Fabrication de verre et d'articles en verre"
"232";"Fabrication de produits réfractaires"
"233";"Fabrication de matériaux de construction en terre cuite"
"234";"Fabrication d'autres produits en céramique et en porcelaine "
"235";"Fabrication de ciment, chaux et plâtre"
"236";"Fabrication d'ouvrages en béton, en ciment ou en plâtre"
"237";"Taille, façonnage et finissage de pierres "
"239";"Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a."
"241";"Sidérurgie"
"242";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier "
"243";"Fabrication d'autres produits de première transformation de l'acier"
"244";"Production de métaux précieux et d'autres métaux non ferreux"
"245";"Fonderie"
"251";"Fabrication d'éléments en métal pour la construction"
"252";"Fabrication de réservoirs, citernes et conteneurs métalliques"
"253";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"254";"Fabrication d'armes et de munitions"
"255";"Forge, emboutissage, estampage"
"256";"Traitement et revêtement des métaux"
"257";"Fabrication de coutellerie, d'outillage et de quincaillerie"
"259";"Fabrication d'autres ouvrages en métaux"
"261";"Fabrication de composants et cartes électroniques"
"262";"Fabrication d'ordinateurs et d'équipements périphériques"
"263";"Fabrication d'équipements de communication"
"264";"Fabrication de produits électroniques grand public"
"265";"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation"
"266";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"267";"Fabrication de matériels optique et photographique"
"268";"Fabrication de supports magnétiques et optiques"
"271";"Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique"
"272";"Fabrication de piles et d'accumulateurs électriques"
"273";"Fabrication de fils et câbles et de matériel d'installation électrique"
"274";"Fabrication d'appareils d'éclairage électrique"
"275";"Fabrication d'appareils ménagers"
"279";"Fabrication d'autres matériels électriques"
"281";"Fabrication de machines d'usage général"
"282";"Fabrication d'autres machines d'usage général"
"283";"Fabrication de machines agricoles et forestières"
"284";"Fabrication de machines de formage des métaux et de machines-outils"
"289";"Fabrication d'autres machines d'usage spécifique"
"291";"Construction de véhicules automobiles"
"292";"Fabrication de carrosseries et remorques"
"293";"Fabrication d'équipements automobiles"
"301";"Construction navale"
"302";"Construction de locomotives et d'autre matériel ferroviaire roulant"
"303";"Construction aéronautique et spatiale "
"304";"Construction de véhicules militaires de combat"
"309";"Fabrication de matériels de transport n.c.a."
"310";"Fabrication de meubles"
"321";"Fabrication d’articles de joaillerie, bijouterie et articles similaires"
"322";"Fabrication d'instruments de musique"
"323";"Fabrication d'articles de sport"
"324";"Fabrication de jeux et jouets"
"325";"Fabrication d'instruments et de fournitures à usage médical et dentaire"
"329";"Activités manufacturières n.c.a."
"331";"Réparation d'ouvrages en métaux, de machines et d'équipements"
"332";"Installation de machines et d'équipements industriels"
"351";"Production, transport et distribution d'électricité"
"352";"Production et distribution de combustibles gazeux"
"353";"Production et distribution de vapeur et d'air conditionné"
"360";"Captage, traitement et distribution d'eau"
"370";"Collecte et traitement des eaux usées"
"381";"Collecte des déchets"
"382";"Traitement et élimination des déchets"
"383";"Récupération"
"390";"Dépollution et autres services de gestion des déchets"
"411";"Promotion immobilière"
"412";"Construction de bâtiments résidentiels et non résidentiels"
"421";"Construction de routes et de voies ferrées "
"422";"Construction de réseaux et de lignes"
"429";"Construction d'autres ouvrages de génie civil "
"431";"Démolition et préparation des sites"
"432";"Travaux d'installation électrique, plomberie et autres travaux d'installation"
"433";"Travaux de finition"
"439";"Autres travaux de construction spécialisés"
"451";"Commerce de véhicules automobiles"
"452";"Entretien et réparation de véhicules automobiles"
"453";"Commerce d'équipements automobiles"
"454";"Commerce et réparation de motocycles"
"461";"Intermédiaires du commerce de gros"
"462";"Commerce de gros de produits agricoles bruts et d'animaux vivants"
"463";"Commerce de gros de produits alimentaires, de boissons et de tabac"
"464";"Commerce de gros de biens domestiques"
"465";"Commerce de gros d'équipements de l'information et de la communication "
"466";"Commerce de gros d'autres équipements industriels"
"467";"Autres commerces de gros spécialisés"
"469";"Commerce de gros non spécialisé"
"471";"Commerce de détail en magasin non spécialisé"
"472";"Commerce de détail alimentaire en magasin spécialisé"
"473";"Commerce de détail de carburants en magasin spécialisé"
"474";"Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé"
"475";"Commerce de détail d'autres équipements du foyer en magasin spécialisé"
"476";"Commerce de détail de biens culturels et de loisirs en magasin spécialisé"
"477";"Autres commerces de détail en magasin spécialisé"
"478";"Commerce de détail sur éventaires et marchés"
"479";"Commerce de détail hors magasin, éventaires ou marchés"
"491";"Transport ferroviaire interurbain de voyageurs"
"492";"Transports ferroviaires de fret"
"493";"Autres transports terrestres de voyageurs"
"494";"Transports routiers de fret et services de déménagement"
"495";"Transports par conduites"
"501";"Transports maritimes et côtiers de passagers"
"502";"Transports maritimes et côtiers de fret"
"503";"Transports fluviaux de passagers"
"504";"Transports fluviaux de fret"
"511";"Transports aériens de passagers"
"512";"Transports aériens de fret et transports spatiaux"
"521";"Entreposage et stockage"
"522";"Services auxiliaires des transports"
"531";"Activités de poste dans le cadre d'une obligation de service universel"
"532";"Autres activités de poste et de courrier"
"551";"Hôtels et hébergement similaire"
"552";"Hébergement touristique et autre hébergement de courte durée "
"553";"Terrains de camping et parcs pour caravanes ou véhicules de loisirs"
"559";"Autres hébergements "
"561";"Restaurants et services de restauration mobile"
"562";"Traiteurs et autres services de restauration"
"563";"Débits de boissons"
"581";"Édition de livres et périodiques et autres activités d'édition "
"582";"Édition de logiciels"
"591";"Activités cinématographiques, vidéo et de télévision"
"592";"Enregistrement sonore et édition musicale"
"601";"Édition et diffusion de programmes radio"
"602";"Programmation de télévision et télédiffusion"
"611";"Télécommunications filaires"
"612";"Télécommunications sans fil "
"613";"Télécommunications par satellite"
"619";"Autres activités de télécommunication"
"620";"Programmation, conseil et autres activités informatiques "
"631";"Traitement de données, hébergement et activités connexes"
"639";"Autres services d'information"
"641";"Intermédiation monétaire"
"642";"Activités des sociétés holding"
"643";"Fonds de placement et entités financières similaires"
"649";"Autres activités des services financiers, hors assurance et caisses de retraite"
"651";"Assurance"
"652";"Réassurance"
"653";"Caisses de retraite"
"661";"Activités auxiliaires de services financiers, hors assurance et caisses de retraite"
"662";"Activités auxiliaires d'assurance et de caisses de retraite"
"663";"Gestion de fonds"
"681";"Activités des marchands de biens immobiliers"
"682";"Location et exploitation de biens immobiliers propres ou loués"
"683";"Activités immobilières pour compte de tiers"
"691";"Activités juridiques"
"692";"Activités comptables"
"701";"Activités des sièges sociaux"
"702";"Conseil de gestion"
"711";"Activités d'architecture et d'ingénierie"
"712";"Activités de contrôle et analyses techniques"
"721";"Recherche-développement en sciences physiques et naturelles"
"722";"Recherche-développement en sciences humaines et sociales"
"731";"Publicité"
"732";"Études de marché et sondages"
"741";"Activités spécialisées de design"
"742";"Activités photographiques"
"743";"Traduction et interprétation"
"749";"Autres activités spécialisées, scientifiques et techniques n.c.a."
"750";"Activités vétérinaires"
"771";"Location et location-bail de véhicules automobiles"
"772";"Location et location-bail de biens personnels et domestiques"
"773";"Location et location-bail d'autres machines, équipements et biens"
"774";"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
"781";"Activités des agences de placement de main-d'œuvre"
"782";"Activités des agences de travail temporaire"
"783";"Autre mise à disposition de ressources humaines"
"791";"Activités des agences de voyage et voyagistes"
"799";"Autres services de réservation et activités connexes"
"801";"Activités de sécurité privée"
"802";"Activités liées aux systèmes de sécurité"
"803";"Activités d'enquête"
"811";"Activités combinées de soutien lié aux bâtiments"
"812";"Activités de nettoyage"
"813";"Services d'aménagement paysager"
"821";"Activités administratives "
"822";"Activités de centres d'appels"
"823";"Organisation de salons professionnels et congrès"
"829";"Activités de soutien aux entreprises n.c.a."
"841";"Administration générale, économique et sociale"
"842";"Services de prérogative publique"
"843";"Sécurité sociale obligatoire"
"851";"Enseignement pré-primaire"
"852";"Enseignement primaire"
"853";"Enseignement secondaire"
"854";"Enseignement supérieur et post-secondaire non supérieur"
"855";"Autres activités d'enseignement"
"856";"Activités de soutien à l'enseignement"
"861";"Activités hospitalières"
"862";"Activité des médecins et des dentistes"
"869";"Autres activités pour la santé humaine"
"871";"Hébergement médicalisé"
"872";"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes"
"873";"Hébergement social pour personnes âgées ou handicapées physiques "
"879";"Autres activités d’hébergement social "
"881";"Action sociale sans hébergement pour personnes âgées et pour personnes handicapées "
"889";"Autre action sociale sans hébergement"
"900";"Activités créatives, artistiques et de spectacle "
"910";"Bibliothèques, archives, musées et autres activités culturelles"
"920";"Organisation de jeux de hasard et d'argent"
"931";"Activités liées au sport"
"932";"Activités récréatives et de loisirs"
"941";"Activités des organisations économiques, patronales et professionnelles"
"942";"Activités des syndicats de salariés"
"949";"Activités des autres organisations associatives"
"951";"Réparation d'ordinateurs et d'équipements de communication "
"952";"Réparation de biens personnels et domestiques"
"960";"Autres services personnels"
"970";"Activités des ménages en tant qu'employeurs de personnel domestique"
"981";"Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre"
"982";"Activités indifférenciées des ménages en tant que producteurs de services pour usage propre"
"990";"Activités des organisations et organismes extraterritoriaux"